district_name,state,source_url,source_slug,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,school_year,last_updated
Nebo School District 2025-2026 in PDF,Utah,https://schoolcalendarinfo.com/nebo-school-district/,nebo-school-district,2026-04-06,2026-04-10,2025-12-22,2026-01-02,2026-05-21,2025-08-13,2025-08-13,2026-05-21,2025-2026,2026-03-08
Needham Public Schools 2025-26 PDF | Massachusetts,Massachusetts,https://schoolcalendarinfo.com/needham-public-schools/,needham-public-schools,2026-04-20,2026-04-24,2025-12-24,2026-01-02,2026-06-16,2025-08-27,2025-08-27,2026-06-16,2025-2026,2026-03-08
Neenah Joint School District 2025-2026 in PDF,,https://schoolcalendarinfo.com/neenah-joint-school-district/,neenah-joint-school-district,2026-03-27,2026-04-06,2025-12-22,2026-01-02,2026-06-05,2025-09-02,2025-09-02,2026-06-05,2025-2026,2026-03-08
Neshaminy School District 2025-2026 in PDF,Pennsylvania,https://schoolcalendarinfo.com/neshaminy-school-district/,neshaminy-school-district,2026-04-02,2026-04-06,2025-12-24,2026-01-02,2026-06-12,2025-08-27,2025-08-27,2026-06-12,2025-2026,2026-03-08
New Albany Floyd County Schools 2025-2026 in PDF,Indiana,https://schoolcalendarinfo.com/new-albany-floyd-county-schools/,new-albany-floyd-county-schools,2026-03-16,2026-03-27,2025-12-22,2026-01-05,2026-05-29,2025-07-30,2025-07-30,2026-05-29,2025-2026,2026-03-08
New Caney Independent School District 2025-2026,Texas,https://schoolcalendarinfo.com/new-caney-independent-school-district/,new-caney-independent-school-district,2026-04-03,2026-04-10,2025-12-19,2026-01-05,2026-05-21,2025-08-06,2025-08-06,2026-05-21,2025-2026,2026-03-08
New Hanover County Schools 2025-2026 in PDF,North Carolina,https://schoolcalendarinfo.com/new-hanover-county-schools/,new-hanover-county-schools,2026-04-03,2026-04-10,2025-12-19,2026-01-02,2026-06-05,2025-08-26,2025-08-26,2026-06-05,2025-2026,2026-03-08
New Haven Public Schools 2025-2026 PDF | Printable,Connecticut,https://schoolcalendarinfo.com/new-haven-public-schools/,new-haven-public-schools,2026-04-13,2026-04-17,2025-12-24,2026-01-06,2026-06-17,2025-08-28,2025-08-28,2026-06-17,2025-2026,2026-03-08
New Trier Township High School District 203 2025-2026,Illinois,https://schoolcalendarinfo.com/new-trier-township-high-school-district-203/,new-trier-township-high-school-district-203,2026-03-30,2026-04-06,2025-12-22,2026-01-02,2026-06-05,2025-08-20,2025-08-20,2026-06-05,2025-2026,2026-03-08
Newark City School District 2025-2026 in PDF,Ohio,https://schoolcalendarinfo.com/newark-city-school-district/,newark-city-school-district,2026-03-30,2026-04-03,2025-12-22,2026-01-02,2026-05-21,2025-08-14,2025-08-14,2026-05-21,2025-2026,2026-03-08
Newport News Public Schools 2025-2026 in PDF,Virginia,https://schoolcalendarinfo.com/newport-news-public-schools/,newport-news-public-schools,,,2025-12-22,2026-01-05,2026-06-09,2025-08-25,2025-08-25,2026-06-09,2025-2026,2026-03-08
