district_name,state,source_slug,school_year,spring_break_start,spring_break_end,winter_break_start,winter_break_end,summer_start,summer_end,first_day,last_day,source
Johnson City Schools 2025-2026 in PDF,,johnson-city-schools,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-05,2024-08-05,2025-05-23,schoolcalendarinfo.com (current page)
Jones County School District 2025-2026 (Mississippi),Mississippi,jones-county-school-district,2024-2025,2025-03-17,2025-03-24,2024-12-23,2025-01-06,2025-05-29,2024-08-05,2024-08-05,2025-05-29,schoolcalendarinfo.com (current page)
Jordan School District Holidays 2025-2026,Utah,jordan-school-district,2024-2025,2025-03-31,2025-04-04,2024-12-23,2025-01-03,2025-06-06,2024-08-20,2024-08-20,2025-06-06,schoolcalendarinfo.com (current page)
Katy Independent School District Holidays 2025-2026,Texas,katy-independent-school-district,2024-2025,2025-03-10,2025-03-14,2024-12-23,2025-01-06,2025-05-22,2024-08-14,2024-08-14,2025-05-22,schoolcalendarinfo.com (current page)
Kearney Public Schools 2025-2026 (Nebraska),Nebraska,kearney-public-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-06,2025-05-22,2024-08-15,2024-08-15,2025-05-22,schoolcalendarinfo.com (current page)
Keller Independent School District 2025-2026 (KISD),Texas,keller-independent-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-23,2025-01-06,2025-05-23,2024-08-14,2024-08-14,2025-05-23,schoolcalendarinfo.com (current page)
Kenton County Schools 2025-2026,Kentucky,kenton-county-schools,2024-2025,2025-04-07,2025-04-11,2024-12-23,2025-01-03,2025-05-22,2024-08-14,2024-08-14,2025-05-22,schoolcalendarinfo.com (current page)
Kokomo School Corporation 2025-2026 in PDF,Indiana,kokomo-school-corporation,2024-2025,2025-03-24,2025-04-04,2024-12-23,2025-01-06,2025-05-28,2024-08-01,2024-08-01,2025-05-28,schoolcalendarinfo.com (current page)
Ladue School District 2025-2026 in PDF,Missouri,ladue-school-district,2024-2025,2025-03-14,2025-03-21,2024-12-23,2025-01-06,2025-05-29,2024-08-19,2024-08-19,2025-05-29,schoolcalendarinfo.com (current page)
Lafayette Parish Schools 2025-2026 in PDF,Louisiana,lafayette-parish-schools,2024-2025,2025-04-14,2025-04-21,2024-12-23,2025-01-06,2025-05-22,2024-08-07,2024-08-07,2025-05-22,schoolcalendarinfo.com (current page)
Lake Forest School District 67 2025-2026 in PDF,Illinois,lake-forest-school-district-67,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-06-02,2024-08-21,2024-08-21,2025-06-02,schoolcalendarinfo.com (current page)
Lake Havasu Unified School District 2025-2026,Arizona,lake-havasu-unified-school-district,2024-2025,2025-03-17,2025-03-21,2024-12-20,2025-01-06,2025-05-22,2024-08-01,2024-08-01,2025-05-22,schoolcalendarinfo.com (current page)
Lake Orion Community Schools 2025-2026 in PDF,Michigan,lake-orion-community-schools,2024-2025,2025-03-24,2025-03-28,2024-12-23,2025-01-03,2025-06-10,2024-09-03,2024-09-03,2025-06-10,schoolcalendarinfo.com (current page)
